id,texto
1,Las frutas contienen muchas vitaminas esenciales para el crecimiento y la salud de los niños.
2,"El desayuno debe incluir carbohidratos complejos, proteínas y una porción de fruta para mantener la energía."
3,"La quinua es un grano andino rico en proteínas y fibra, ideal para una alimentación balanceada."
4,Beber suficiente agua durante el día ayuda a mantener la hidratación y el buen funcionamiento de los órganos.
5,"Las verduras de hoja verde, como la espinaca y la acelga, aportan hierro y vitaminas A y C."
6,"El pescado, especialmente la trucha, es una fuente excelente de proteínas y ácidos grasos omega-3."
7,"El camu camu es una fruta peruana muy rica en vitamina C, que ayuda a reforzar el sistema inmunológico."
8,Un snack saludable puede ser palitos de zanahoria o pepino con un poco de hummus o yogurt.
9,"La chicha morada casera, preparada con maíz morado y poca azúcar, es refrescante y antioxidante."
10,El yogurt natural aporta calcio y probióticos que ayudan a la digestión y la salud intestinal.
